"sector_name","employment_status","number_of_people"
"Accommodation and food services [72]","Employed","30466800"
"Accommodation and food services [72]","Unemployed","2340800"
"Agriculture, forestry, fishing and hunting [11]","Employed","11074000"
"Agriculture, forestry, fishing and hunting [11]","Unemployed","824740"
"Business, building and other support services [55, 56]","Employed","19843600"
"Business, building and other support services [55, 56]","Unemployed","1870400"
"Construction [23]","Employed","35072800"
"Construction [23]","Unemployed","2648800"
"Educational services [61]","Employed","32116000"
"Educational services [61]","Unemployed","1145200"
"Finance and insurance [52]","Employed","21697200"
"Finance and insurance [52]","Unemployed","446880"
"Health care and social assistance [62]","Employed","52869600"
"Health care and social assistance [62]","Unemployed","996100"
"Information, culture and recreation [51, 71]","Employed","20395200"
"Information, culture and recreation [51, 71]","Unemployed","1274000"
"Manufacturing [31-33]","Employed","53785200"
"Manufacturing [31-33]","Unemployed","3746400"
"Mining, quarrying, and oil and gas extraction [21]","Employed","7568400"
"Mining, quarrying, and oil and gas extraction [21]","Unemployed","421624"
"Other services (except public administration) [81]","Employed","20686400"
"Other services (except public administration) [81]","Unemployed","870800"
"Professional, scientific and technical services [54]","Employed","33238800"
"Professional, scientific and technical services [54]","Unemployed","1002400"
"Public administration [91]","Employed","25177600"
"Public administration [91]","Unemployed","540400"
"Real estate and rental and leasing [53]","Employed","8388800"
"Real estate and rental and leasing [53]","Unemployed","357476"
"Retail trade [44-45]","Employed","57534400"
"Retail trade [44-45]","Unemployed","2856000"
"Transportation and warehousing [48-49]","Employed","24435600"
"Transportation and warehousing [48-49]","Unemployed","958104"
"Utilities [22]","Employed","3998400"
"Utilities [22]","Unemployed","48804"
